Country Name,Country Code,Time,Time Code,Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT]
China,CHN,1990,YR1990,34.08361405,25600281.09,126788
China,CHN,1991,YR1991,33.25847354,26528968.59,125165
China,CHN,1992,YR1992,32.9312779,27001548.58,132601
China,CHN,1993,YR1993,31.6777918,28378707.89,151962
China,CHN,1994,YR1994,31.24948417,28961956.47,167905
China,CHN,1995,YR1995,29.47211139,30899713.56,193662
China,CHN,1996,YR1996,30.53717546,29871187.7,189606
China,CHN,1997,YR1997,30.18348168,30299473.39,198922
China,CHN,1998,YR1998,29.73990148,30588524.33,210864
China,CHN,1999,YR1999,30.50604898,29708163.8,206838
China,CHN,2000,YR2000,29.73071484,30187188.73,225588
China,CHN,2001,YR2001,28.45581538,30940867.04,280766
China,CHN,2002,YR2002,27.09820152,32272543.97,291441
China,CHN,2003,YR2003,23.94657959,35505254.39,287321
China,CHN,2004,YR2004,20.24947926,41469975.08,357480
China,CHN,2005,YR2005,18.20381865,45785223.21,404451
China,CHN,2006,YR2006,17.09461008,49175114.02,446882
China,CHN,2007,YR2007,15.34937114,52829271.79,500911
China,CHN,2008,YR2008,14.60199657,54691192.12,614990
China,CHN,2009,YR2009,13.91196227,56930962.32,663651
China,CHN,2010,YR2010,12.88431031,61093297.29,781638
China,CHN,2011,YR2011,11.69579699,65459079.1,788618
China,CHN,2012,YR2012,11.96856703,67426526.34,995264
China,CHN,2013,YR2013,11.8381669,69906541.02,1103418
China,CHN,2014,YR2014,12.22382301,71536310.66,1280977
China,CHN,2015,YR2015,12.41335257,73183146.53,1398321
China,CHN,2016,YR2016,..,..,..
Indonesia,IDN,1990,YR1990,58.59753114,3036636.468,6833
Indonesia,IDN,1991,YR1991,57.82874174,3138269.908,7676
Indonesia,IDN,1992,YR1992,56.82076894,3260328.986,9896
Indonesia,IDN,1993,YR1993,55.4330117,3393351.619,8978
Indonesia,IDN,1994,YR1994,52.81378848,3609000.708,8041
Indonesia,IDN,1995,YR1995,50.09815781,3857177.758,9745
Indonesia,IDN,1996,YR1996,48.75037997,3997062.179,10518
Indonesia,IDN,1997,YR1997,47.08737494,4220885.116,7716
Indonesia,IDN,1998,YR1998,48.29961688,4194186.478,12303
Indonesia,IDN,1999,YR1999,45.07867761,4541546.266,12134
Indonesia,IDN,2000,YR2000,45.58150099,4622835.919,14891
Indonesia,IDN,2001,YR2001,44.30833333,4767940.568,17694
Indonesia,IDN,2002,YR2002,44.63581086,4732272.046,16182
Indonesia,IDN,2003,YR2003,42.97783588,4929878.288,15408
Indonesia,IDN,2004,YR2004,41.42415303,5118241.039,16350
Indonesia,IDN,2005,YR2005,41.44568581,5094455.451,17351
Indonesia,IDN,2006,YR2006,39.93704821,5387428.707,16313
Indonesia,IDN,2007,YR2007,39.96935654,5379974.026,18343
Indonesia,IDN,2008,YR2008,40.15875348,5405548.759,19884
Indonesia,IDN,2009,YR2009,38.97047862,5597449.857,20746
Indonesia,IDN,2010,YR2010,37.75342034,5748024.895,26913
Indonesia,IDN,2011,YR2011,38.22547215,5790761.698,21997
Indonesia,IDN,2012,YR2012,38.23365734,6097101.774,22477
Indonesia,IDN,2013,YR2013,38.10645359,6268373.923,26506
Indonesia,IDN,2014,YR2014,37.45426835,6462788.106,26149
Indonesia,IDN,2015,YR2015,36.8793481,6513819.044,24922
Indonesia,IDN,2016,YR2016,..,..,..
United States,USA,1990,YR1990,4.175462186,49172281.02,369241
United States,USA,1991,YR1991,4.507919594,49234551.63,350142
United States,USA,1992,YR1992,4.763083108,49497729.65,324316
United States,USA,1993,YR1993,4.281528407,50431570.1,355578
United States,USA,1994,YR1994,4.088641398,51418449.19,336458
United States,USA,1995,YR1995,4.726554335,51788445.16,384343
United States,USA,1996,YR1996,4.763930451,53304913.38,422867
United States,USA,1997,YR1997,4.514260299,53885417.3,403130
United States,USA,1998,YR1998,4.53429689,53983231.79,365559
United States,USA,1999,YR1999,5.709726593,55803530.13,351308
United States,USA,2000,YR2000,5.429623689,58330543.36,330364
United States,USA,2001,YR2001,4.67857121,57219712.6,260426
United States,USA,2002,YR2002,4.840779184,57240371.73,348137
United States,USA,2003,YR2003,5.326282274,58069490.9,360433
United States,USA,2004,YR2004,5.477656518,58840911.06,357987
United States,USA,2005,YR2005,5.841090873,58889188.25,366205
United States,USA,2006,YR2006,6.396513971,58707586.93,395209
United States,USA,2007,YR2007,6.304128198,59567475.18,361815
United States,USA,2008,YR2008,6.845540835,58277353.04,391022
United States,USA,2009,YR2009,7.354404755,55341324.5,428696
United States,USA,2010,YR2010,7.505172055,57655200.55,440677
United States,USA,2011,YR2011,8.164451646,57123701.65,528962
United States,USA,2012,YR2012,8.481450408,56628804.85,512822
United States,USA,2013,YR2013,8.713261573,57984073.56,541802
United States,USA,2014,YR2014,8.754308954,59116385.16,559496
United States,USA,2015,YR2015,8.716935867,58483061.91,568439
United States,USA,2016,YR2016,..,..,..
Russia,RUS,1990,YR1990,3.751939258,24484213.01,165982
Russia,RUS,1991,YR1991,3.766961784,23745505.03,167639
Russia,RUS,1992,YR1992,3.980548749,21911612.06,171906
Russia,RUS,1993,YR1993,4.038095886,21390534.66,173459
Russia,RUS,1994,YR1994,3.866873286,18688468.6,175039
Russia,RUS,1995,YR1995,3.870681409,17737050.08,175470
Russia,RUS,1996,YR1996,3.69452595,16026949.28,153385
Russia,RUS,1997,YR1997,3.745987177,15302078.54,156641
Russia,RUS,1998,YR1998,3.585032251,15131378.52,158555
Russia,RUS,1999,YR1999,3.820848435,15596656.35,160552
Russia,RUS,2000,YR2000,3.497189098,15973725.88,164159
Russia,RUS,2001,YR2001,3.621604248,16043337.71,174016
Russia,RUS,2002,YR2002,3.459288723,15607384.73,162396
Russia,RUS,2003,YR2003,3.280098638,15924957.07,156137
Russia,RUS,2004,YR2004,3.554391407,15975106.14,176275
Russia,RUS,2005,YR2005,3.615024605,15392924.27,173135
Russia,RUS,2006,YR2006,3.483899853,15879365.75,173865
Russia,RUS,2007,YR2007,3.669240152,15901652,177554
Russia,RUS,2008,YR2008,3.307738381,16190521.69,165257
Russia,RUS,2009,YR2009,3.599623033,15144024.67,174684
Russia,RUS,2010,YR2010,3.342748397,15919962.76,167028
Russia,RUS,2011,YR2011,3.227795536,16407544.85,166406
Russia,RUS,2012,YR2012,3.354041116,15986715.17,166425
Russia,RUS,2013,YR2013,3.744504114,15392751.15,181637
Russia,RUS,2014,YR2014,3.422426946,15995754.14,176010
Russia,RUS,2015,YR2015,3.304228351,15809140.43,168963
Russia,RUS,2016,YR2016,..,..,..
South Korea,KOR,1990,YR1990,1.631946867,2435929.184,6362
South Korea,KOR,1991,YR1991,0.955805367,2622216.914,3487
South Korea,KOR,1992,YR1992,0.752919688,2810496.305,3099
South Korea,KOR,1993,YR1993,0.72597866,3089712.029,4230
South Korea,KOR,1994,YR1994,0.441574757,3353973.425,2349
South Korea,KOR,1995,YR1995,0.443590287,3671153.419,3012
South Korea,KOR,1996,YR1996,0.60863812,3917564.351,2830
South Korea,KOR,1997,YR1997,0.676453174,4014266.033,2895
South Korea,KOR,1998,YR1998,0.948920714,3431236.088,4343
South Korea,KOR,1999,YR1999,0.787126862,3883274.92,4257
South Korea,KOR,2000,YR2000,0.700450814,4273729.063,4111
South Korea,KOR,2001,YR2001,0.692197634,4342948.967,4258
South Korea,KOR,2002,YR2002,0.696662626,4516602.275,3434
South Korea,KOR,2003,YR2003,0.845581665,4546039.917,5123
South Korea,KOR,2004,YR2004,0.770203659,4586270.082,4631
South Korea,KOR,2005,YR2005,0.87292338,4609055.15,4052
South Korea,KOR,2006,YR2006,0.948657762,4620144.56,4018
South Korea,KOR,2007,YR2007,1.02492174,4710012.296,4557
South Korea,KOR,2008,YR2008,1.060729264,4694513.642,4376
South Korea,KOR,2009,YR2009,1.206796036,4640321.838,4687
South Korea,KOR,2010,YR2010,1.314953503,4996197.954,6186
South Korea,KOR,2011,YR2011,1.347612055,5083834.753,7479
South Korea,KOR,2012,YR2012,1.614257513,5120552.906,7093
South Korea,KOR,2013,YR2013,1.922273654,5193184.633,8783
South Korea,KOR,2014,YR2014,2.838191508,5198648.491,8553
South Korea,KOR,2015,YR2015,2.707702804,5312174.577,10406
South Korea,KOR,2016,YR2016,..,..,..
India,IND,1990,YR1990,58.65285835,9625890.637,71688
India,IND,1991,YR1991,57.60479334,9937091.462,72814
India,IND,1992,YR1992,57.23056748,10124737.98,69974
India,IND,1993,YR1993,56.98336334,10223666.45,70577
India,IND,1994,YR1994,55.55718746,10600795.81,82927
India,IND,1995,YR1995,54.484117,10856619,73126
India,IND,1996,YR1996,53.7674097,11076079.42,69854
India,IND,1997,YR1997,52.4880731,11484458.55,75700
India,IND,1998,YR1998,52.71225571,11581610.23,84132
India,IND,1999,YR1999,51.7172937,11934234.29,83274
India,IND,2000,YR2000,51.57934762,12080447.48,77426
India,IND,2001,YR2001,51.78721923,12162916.05,77680
India,IND,2002,YR2002,50.56944266,12583836.53,73597
India,IND,2003,YR2003,50.84279906,12722743.67,87664
India,IND,2004,YR2004,49.72402461,13273593.71,99059
India,IND,2005,YR2005,48.57530875,13900527.19,118935
India,IND,2006,YR2006,47.44372171,14552475.55,135725
India,IND,2007,YR2007,45.86780352,15352261.19,147122
India,IND,2008,YR2008,43.63288301,16342885.25,140062
India,IND,2009,YR2009,40.77082759,17750414.76,143650
India,IND,2010,YR2010,39.48150873,18684425.28,157135
India,IND,2011,YR2011,38.93174021,19401668.04,186077
India,IND,2012,YR2012,38.39089015,19869435.09,176689
India,IND,2013,YR2013,37.84984118,20586036.18,206622
India,IND,2014,YR2014,36.65183786,21562801.38,210273
India,IND,2015,YR2015,36.02122257,22241457.76,212195
India,IND,2016,YR2016,..,..,..
Japan,JPN,1990,YR1990,4.550664024,10605003.96,98204
Japan,JPN,1991,YR1991,4.730569218,10743508.37,106821
Japan,JPN,1992,YR1992,4.197714901,10848862.08,92259
Japan,JPN,1993,YR1993,4.435606712,10988411.09,104689
Japan,JPN,1994,YR1994,3.567645778,11254194.64,77893
Japan,JPN,1995,YR1995,3.917188521,11643013.8,94146
Japan,JPN,1996,YR1996,3.839358437,11815406.33,93206
Japan,JPN,1997,YR1997,4.072127493,11791791.9,102686
Japan,JPN,1998,YR1998,4.045356051,11620252.8,103998
Japan,JPN,1999,YR1999,3.828786576,11920262.23,98515
Japan,JPN,2000,YR2000,3.916108019,12009265.26,99191
Japan,JPN,2001,YR2001,3.73677736,11937914.87,96067
Japan,JPN,2002,YR2002,3.695374373,12084228.96,95084
Japan,JPN,2003,YR2003,4.079025011,11868159.64,108337
Japan,JPN,2004,YR2004,4.013757492,11984792.33,108728
Japan,JPN,2005,YR2005,3.65447331,12017770.08,94947
Japan,JPN,2006,YR2006,4.029363809,12027201.39,106811
Japan,JPN,2007,YR2007,3.752731799,11890617.93,94599
Japan,JPN,2008,YR2008,3.983866936,11169434.3,96782
Japan,JPN,2009,YR2009,4.035613662,10876504.46,97710
Japan,JPN,2010,YR2010,4.585529562,11269697.27,120069
Japan,JPN,2011,YR2011,4.693602259,11088885.92,123156
Japan,JPN,2012,YR2012,4.533085434,11038188.17,118282
Japan,JPN,2013,YR2013,4.91215213,11101470.1,129323
Japan,JPN,2014,YR2014,5.625025887,10788730.79,148217
Japan,JPN,2015,YR2015,6.297357081,10559777.56,165485
Japan,JPN,2016,YR2016,..,..,..
Germany,DEU,1990,YR1990,2.098033775,9120248.791,19093
Germany,DEU,1991,YR1991,1.988632809,9058459.62,16979
Germany,DEU,1992,YR1992,2.062621895,8781207.086,19735
Germany,DEU,1993,YR1993,2.110931085,8843197.266,20520
Germany,DEU,1994,YR1994,2.266202061,8641109.431,23433
Germany,DEU,1995,YR1995,2.319748996,8779152.414,25932
Germany,DEU,1996,YR1996,2.252173834,9179162.678,26551
Germany,DEU,1997,YR1997,2.824421822,8991557.068,23062
Germany,DEU,1998,YR1998,3.045118906,8926672.763,24902
Germany,DEU,1999,YR1999,3.263712146,8754047.147,28717
Germany,DEU,2000,YR2000,3.70043759,8638440.514,35475
Germany,DEU,2001,YR2001,3.89967279,8812552.193,37895
Germany,DEU,2002,YR2002,4.412636787,8671255.271,44477
Germany,DEU,2003,YR2003,5.058467425,8839115.931,45590
Germany,DEU,2004,YR2004,5.825244433,8763328.404,56634
Germany,DEU,2005,YR2005,6.764551009,8626259.145,62505
Germany,DEU,2006,YR2006,7.753224656,8820320.967,71638
Germany,DEU,2007,YR2007,9.406587903,8247962.045,88320
Germany,DEU,2008,YR2008,8.592248257,8551613.944,93249
Germany,DEU,2009,YR2009,9.63006157,8118725.87,94858
Germany,DEU,2010,YR2010,10.29351964,8638160.04,104809
Germany,DEU,2011,YR2011,11.39435591,8211583.065,123773
Germany,DEU,2012,YR2012,12.01513573,8300447.226,143458
Germany,DEU,2013,YR2013,12.08907875,8524131.747,152366
Germany,DEU,2014,YR2014,13.37887823,8130876.006,162513
Germany,DEU,2015,YR2015,14.2062527,8327614.785,187366
Germany,DEU,2016,YR2016,..,..,..
Canada,CAN,1990,YR1990,22.02075369,6144730.643,300691
Canada,CAN,1991,YR1991,22.19784052,6065531.46,312248
Canada,CAN,1992,YR1992,21.92998463,6159033.045,320904
Canada,CAN,1993,YR1993,21.80305888,6280499.482,328435
Canada,CAN,1994,YR1994,21.69269302,6517028.561,335629
Canada,CAN,1995,YR1995,21.92357632,6662580.863,341626
Canada,CAN,1996,YR1996,21.57923752,6854412.712,361553
Canada,CAN,1997,YR1997,21.31115038,6903756.829,357645
Canada,CAN,1998,YR1998,21.52403671,6775694.633,339270
Canada,CAN,1999,YR1999,21.70508086,6962664.687,354220
Canada,CAN,2000,YR2000,21.51040106,7181939.544,366993
Canada,CAN,2001,YR2001,21.00867869,6925804.434,342265
Canada,CAN,2002,YR2002,21.76983695,7126272.94,360012
Canada,CAN,2003,YR2003,21.18307873,7311590.631,347332
Canada,CAN,2004,YR2004,21.58139664,7414209.685,350599
Canada,CAN,2005,YR2005,22.24852785,7242928.66,372497
Canada,CAN,2006,YR2006,22.08874861,7064189.228,363868
Canada,CAN,2007,YR2007,22.12619174,7325548.92,379029
Canada,CAN,2008,YR2008,22.52531404,7257781.166,388424
Canada,CAN,2009,YR2009,22.70125736,6882160.645,383164
Canada,CAN,2010,YR2010,22.08098938,6936183.763,370748
Canada,CAN,2011,YR2011,21.96541861,7189592.094,396672
Canada,CAN,2012,YR2012,22.61025847,7175437.653,402558
Canada,CAN,2013,YR2013,22.37967975,7325247.805,421087
Canada,CAN,2014,YR2014,22.02465154,7346681.5,419681
Canada,CAN,2015,YR2015,22.02535921,7205757.622,422643
Canada,CAN,2016,YR2016,..,..,..
Iran,IRN,1990,YR1990,1.238359584,2025140.381,6083
Iran,IRN,1991,YR1991,1.226917409,2313435.264,7056
Iran,IRN,1992,YR1992,1.44947072,2531914.546,9530
Iran,IRN,1993,YR1993,1.528147068,2475375.622,9823
Iran,IRN,1994,YR1994,1.086965059,2884857.223,7445
Iran,IRN,1995,YR1995,1.0180873,2961355.083,7288
Iran,IRN,1996,YR1996,1.032272155,3017028.972,7392
Iran,IRN,1997,YR1997,0.898423541,3165028.375,6929
Iran,IRN,1998,YR1998,0.841574849,3180937.503,7040
Iran,IRN,1999,YR1999,0.585858647,3435243.316,4978
Iran,IRN,2000,YR2000,0.438389902,3647070.778,3687
Iran,IRN,2001,YR2001,0.517141087,3805590.102,5091
Iran,IRN,2002,YR2002,0.663690999,4011802.185,8080
Iran,IRN,2003,YR2003,0.829586856,4214302.545,11125
Iran,IRN,2004,YR2004,0.73776094,4539653.456,10674
Iran,IRN,2005,YR2005,1.400793048,4891921.764,16171
Iran,IRN,2006,YR2006,1.398239373,5338056.663,18391
Iran,IRN,2007,YR2007,1.301536224,5760538.864,18130
Iran,IRN,2008,YR2008,0.702090315,5724333.343,5199
Iran,IRN,2009,YR2009,0.781922794,5978894.635,7460
Iran,IRN,2010,YR2010,0.897453786,5985578.401,9699
Iran,IRN,2011,YR2011,0.916869396,6096614.221,12297
Iran,IRN,2012,YR2012,0.934277506,6084072.41,12677
Iran,IRN,2013,YR2013,0.995531841,6341292.906,14979
Iran,IRN,2014,YR2014,0.939119651,6661814.595,14267
Iran,IRN,2015,YR2015,0.913005057,6565402.848,14326
Iran,IRN,2016,YR2016,..,..,..
,,,,,,
,,,,,,
,,,,,,
Data from database: Sustainable Energy for All,,,,,,
Last Updated: 06/30/2018,,,,,,
